CP,CITY,BRUTA,NETA
8380,Malgrat de Mar,22677,17482
25400,Borjas Blancas,22702,17499
7820,Sant Antoni,22718,17510
8572,San Pedro de Torello,22749,17531
25620,Tremp,22771,17546
25600,Belaguer,22804,17569
25125,Alguaire,22807,17571
8516,Olost,22826,17584
17401,Arbucias,22840,17594
25124,Rosello,22878,17620
43340,Montbrió del Camp,22925,17653
8490,Tordera,22969,17683
17480,Roses,22986,17695
17450,Hostalrich,22992,17699
8734,Avinyó Nou,22998,17703
7400,Alcudia,23135,17798
7410,Aucanada,23135,17798
15600,Puentedeume,23165,17818
4720,Almeria,23234,17866
4860,Almeria,23234,17866
25110,Alpicat,23234,17866
8480,La Ametlla,23236,17867
8733,Pla del Panadeś,23248,17876
8282,Pujalt,23296,17909
25310,Agramunt,23345,17943
17160,Anglés,23348,17945
22300,Barbastro,23377,17965
25004,Alamus,23422,17996
8670,Navás,23442,18009
25286,Navés,23442,18009
17520,Puigcerda,23460,18022
8695,Bagá,23477,18034
25222,Tiurana,23477,18034
25716,Gósol,23477,18034
8731,San Martin Sarroca,23493,18045
25300,Tárrega,23499,18049
38201,San Cristóbal de la Laguna,23542,18078
17400,Breda,23548,18083
17300,Blanes,23564,18094
8901,Hospitalet de Llobregat(Sant Josep),23575,18101
8902,Hospitalet de Llobregat(EL Gornal),23575,18101
8903,Hospitalet de Llobregat(COllblanc),23575,18101
8904,Hospitalet de Llobregat(COllblanc),23575,18101
8905,Hospitalet de Llobregat(Florida),23575,18101
